player_id,name,team,age,nationality,photo,primary_position,detailed_position,position_group,position_confidence,minutes,rating,possession_control,passing_control,chance_creation,attacking_pressure,directness,shooting_efficiency
21104,R. Kolo Muani,Tottenham,27.0,France,https://media.api-sports.io/football/players/21104.png,ST,ST,FW,47.6,1682,6.47,61.7,69.1,71.2,21.3,59.1,4.6
21138,R. Aït-Nouri,Manchester City,24.0,Algeria,https://media.api-sports.io/football/players/21138.png,LB,LB,FB,91.7,988,6.92,89.0,87.3,86.6,69.0,89.6,33.0
21998,A. Disasi,West Ham,27.0,France,https://media.api-sports.io/football/players/21998.png,CB,CB,CB,100.0,1260,6.72,39.9,19.4,25.9,46.3,27.3,66.4
22090,W. Saliba,Arsenal,24.0,France,https://media.api-sports.io/football/players/22090.png,CB,CB,CB,100.0,2615,7.04,81.9,79.4,62.6,37.1,47.6,42.9
22094,W. Fofana,Chelsea,25.0,France,https://media.api-sports.io/football/players/22094.png,CB,CB,CB,95.0,1726,6.86,76.9,63.2,52.2,41.5,51.7,28.6
22136,B. Diakité,Bournemouth,24.0,France,https://media.api-sports.io/football/players/22136.png,CB,CB,CB,100.0,1286,6.66,34.9,46.9,27.3,11.1,27.4,16.6
22149,I. Sangaré,Nottingham Forest,28.0,Côte d'Ivoire,https://media.api-sports.io/football/players/22149.png,CDM,CDM,DM,92.0,2080,6.97,35.5,25.5,43.7,50.7,47.3,47.6
22160,O. Boscagli,Brighton,28.0,France,https://media.api-sports.io/football/players/22160.png,CB,CB,CB,88.9,819,6.96,89.0,92.9,81.5,24.2,42.1,16.6
22224,Gabriel Magalhães,Arsenal,28.0,Brazil,https://media.api-sports.io/football/players/22224.png,CB,CB,CB,100.0,2751,7.36,55.6,61.2,56.2,65.1,41.2,76.3
22225,Reinildo,Sunderland,31.0,Mozambique,https://media.api-sports.io/football/players/22225.png,LB,LB,FB,78.3,1982,6.67,54.4,32.5,29.3,23.7,27.6,16.0
24760,G. Mamardashvili,Liverpool,25.0,Georgia,https://media.api-sports.io/football/players/24760.png,GK,GK,GK,100.0,868,6.74,34.2,33.5,32.3,47.4,38.1,50.6
24888,Hwang Hee-Chan,Wolves,29.0,Korea Republic,https://media.api-sports.io/football/players/24888.png,ST,ST,FW,66.7,1461,6.61,69.0,83.4,64.0,17.2,44.9,16.6
25073,V. Janelt,Brentford,27.0,Germany,https://media.api-sports.io/football/players/25073.png,CDM,CDM,DM,86.7,1460,6.94,44.9,63.6,71.1,39.2,44.6,38.7
25287,K. Danso,Tottenham,27.0,Austria,https://media.api-sports.io/football/players/25287.png,CB,CB,CB,100.0,1519,6.86,54.9,45.2,27.1,39.6,34.4,38.8
25391,N. Füllkrug,West Ham,32.0,Germany,https://media.api-sports.io/football/players/25391.png,ST,ST,FW,100.0,408,6.08,46.6,80.1,47.7,16.6,34.5,22.1
25927,J. Mateta,Crystal Palace,28.0,France,https://media.api-sports.io/football/players/25927.png,ST,ST,FW,100.0,2222,6.73,41.3,20.1,27.2,69.3,43.4,71.9
30410,F. Chiesa,Liverpool,28.0,Italy,https://media.api-sports.io/football/players/30410.png,RW,RW,W,100.0,400,6.58,23.5,32.8,25.1,79.3,47.6,71.2
30776,C. Romero,Tottenham,27.0,Argentina,https://media.api-sports.io/football/players/30776.png,CB,CB,CB,100.0,1872,7.13,69.8,71.2,86.6,93.0,87.2,81.2
31146,S. Tonali,Newcastle,25.0,Italy,https://media.api-sports.io/football/players/31146.png,CM,CM,CM,80.6,2543,6.95,83.0,78.3,60.5,45.5,56.5,33.4
31354,G. Vicario,Tottenham,29.0,Italy,https://media.api-sports.io/football/players/31354.png,GK,GK,GK,100.0,2790,6.87,48.9,57.7,50.5,47.4,47.0,50.6
32966,A. Tanaka,Leeds,27.0,Japan,https://media.api-sports.io/football/players/32966.png,CM,CM,CM,100.0,1326,6.74,46.6,62.7,43.5,58.4,53.9,47.1
36878,M. Bizot,Aston Villa,34.0,Netherlands,https://media.api-sports.io/football/players/36878.png,GK,GK,GK,100.0,597,6.54,52.1,54.8,30.6,47.4,38.1,50.6
36902,T. Reijnders,Manchester City,27.0,Netherlands,https://media.api-sports.io/football/players/36902.png,CM,CM,CM,78.9,1640,6.85,56.7,54.6,63.8,97.1,89.0,73.3
