player_id,name,primary_position,primary_starts,secondary_position,secondary_starts,total_starts,position_confidence,unknown_starts,position_history
48648,D. Ndoye,RW,9,LW,5,14,64.3,0,RW:9 | LW:5
137303,E. Guessand,RW,5,CAM,3,9,55.6,0,RW:5 | CAM:3 | LW:1
671,B. Traore,RW,5,RM,4,9,55.6,0,RW:5 | RM:4
339201,C. Rigg,RW,6,CAM,2,11,54.5,0,RW:6 | CAM:2 | RM:2 | CM:1
18870,D. Brooks,RW,7,LW,4,13,53.8,0,RW:7 | LW:4 | LM:1 | RM:1
19191,J. McGinn,RW,15,CAM,5,28,53.6,0,RW:15 | CAM:5 | CDM:3 | RM:3 | LW:2
1864,P. Neto,RW,16,LW,12,30,53.3,0,RW:16 | LW:12 | RM:1 | ST:1
18592,I. Ndiaye,RW,17,LW,13,32,53.1,0,RW:17 | LW:13 | CAM:2
129695,D. Bakwa,RW,3,LM,1,6,50.0,0,RW:3 | LM:1 | RM:1 | CAM:1
157997,A. Diallo,RW,12,RWB,10,27,44.4,0,RW:12 | RWB:10 | CAM:4 | LW:1
336659,C. Talbi,RW,7,LW,5,16,43.8,0,RW:7 | LW:5 | LM:4
13708,J. Arias,RW,6,CM,4,14,42.9,0,RW:6 | CM:4 | LW:2 | ST:1 | CAM:1
22,J. Bruun Larsen,RW,4,LW,3,10,40.0,0,RW:4 | LW:3 | ST:1 | RM:1 | CAM:1
278370,D. Gomez,RW,10,CAM,7,26,38.5,0,RW:10 | CAM:7 | LW:5 | CDM:4
19428,J. Bowen,RW,14,RM,13,38,36.8,0,RW:14 | RM:13 | ST:6 | CAM:4 | LW:1
278133,O. Bobb,RW,4,LW,4,11,36.4,0,RW:4 | LW:4 | RM:3
50739,B. Aaronson,RW,8,CAM,8,30,26.7,0,RW:8 | CAM:8 | CM:5 | ST:4 | LM:4 | RM:1
128895,O. Sonne,RWB,1,,0,1,100.0,0,RWB:1
13736,D. Munoz,RWB,29,,0,29,100.0,0,RWB:29
449245,Pedro Lima,RWB,3,,0,3,100.0,0,RWB:3
296560,J. Tchatchoua,RWB,18,RB,1,19,94.7,0,RWB:18 | RB:1
18862,N. Clyne,RWB,6,CB,1,7,85.7,0,RWB:6 | CB:1
