alias,current_club_id,evidence
Royal Excel Mouscron (-2022),29228,1
Rukh Lviv,48726,1
S-Pulse,1062,1
S. A. F. Botafogo,537,1
SC Bastia,595,1
SC Beira-Mar,1436,1
SC Braga,1075,1
SC Cambuur Leeuwarden,133,1
SC Dnipro-1,60551,1
SC Farense,4294,1
SC Freiburg,60,22
SC Heerenveen,306,1
SC Olhanense,4750,1
SC Otelul Galati,4959,1
SC Paderborn 07,127,1
SC Poltava,81401,1
SC Telstar,1434,1
SD Eibar,1533,1
SD Huesca,5358,1
SK Austria Klagenfurt,28760,1
SK Beveren,28643,1
SK Dynamo Ceske Budejovice,1321,1
"SK Sigma Olomouc, a.s.",2311,1
SK Slavia Prague,62,1
SK Tavriya Simferopol ( - 2022),2227,1
SKA Khabarovsk,3690,1
SL Benfica,294,1
SM Caen,1162,1
SPAL,2722,1
SSC Napoli,6195,28
SV Darmstadt 98,105,1
SV Ried,266,1
SV Werder Bremen,86,23
Samsunspor,152,1
San Diego Football Club,114977,1
San Jose Earthquakes,218,1
Sandefjord Fotball,6399,1
Sanfrecce Hiroshima,2697,1
Santos Futebol Clube,221,1
Santos Laguna,1403,1
Sarpsborg 08 Fotballforening,10217,1
Sassuolo,6574,19
Seattle Sounders FC,9636,1
Sepsi OSK Sf. Gheorghe,54585,1
Servette FC,61,1
Sevilla,368,20
Sevilla FC,368,20
Sheffield United,350,1
Shonan Bellmare,8457,1
Siena FC,1387,1
Silkeborg IF,1177,1
Sint-Truidense VV,475,1
Sivasspor,2381,1
Slask Wroclaw,759,1
Slaven Belupo Koprivnica,2362,1
Sociedade Esportiva Palmeiras,1023,1
Società Sportiva Lazio S.p.A.,398,25
Southampton FC,180,1
SpVgg Greuther Fürth,65,1
Sparta Rotterdam,468,1
Spartak Vladikavkaz (-2020),2703,1
Spezia Calcio,3522,1
Sport Club Corinthians Paulista,199,1
Sport Club Internacional,6600,1
Sport Club do Recife,8718,1
Sportclub Rheindorf Altach,3551,1
Sporting CP,336,1
Sporting Gijón,2448,1
Sporting Kansas City,4284,1
Sportklub Puntigamer Sturm Graz,122,1
Sportsklubben Brann,1100,1
St. Johnstone FC,2578,1
St. Louis City Soccer Club,82686,1
St. Mirren FC,465,1
Stade Brestois 29,3911,22
Stade Reims,1421,1
Stade Rennais FC,273,21
Stal Mielec,22431,1
Standard Liège,3057,1
Stoke City,512,1
Strasbourg,667,18
Strømsgodset IF,2817,1
Sunderland,289,18
Sunderland AFC,289,20
Suwon FC,31622,1
Swansea City,2288,1
Sydney FC,8054,1
São Paulo Futebol Clube,585,1
Sönderjyske Fodbold,5817,1
TOV FK Metalist 1925 Kharkiv,55686,1
TSG 1899 Hoffenheim,533,17
TSV Hartberg,4467,1
