league_id,league,season,team_id,team,matches_analyzed,avg_possession,avg_total_shots,avg_shots_on_target,avg_shots_inside_box,avg_corners,avg_total_passes,avg_accurate_passes,avg_pass_accuracy,shots_per_100_passes,shot_accuracy,possession_control,passing_control,chance_creation,attacking_pressure,directness,shooting_efficiency
39,Premier League,2025,40,Liverpool,38,59.21,15.47,4.61,10.08,6.11,530.95,455.08,85.37,2.91,29.76,92.7,86.1,81.3,91.1,54.2,9.4
39,Premier League,2025,50,Manchester City,38,60.5,15.66,5.39,11.32,6.42,586.53,519.24,88.03,2.67,34.45,95.8,95.4,91.4,94.0,26.0,54.2
39,Premier League,2025,33,Manchester United,38,51.82,15.68,5.68,10.32,4.76,465.53,385.74,82.32,3.37,36.24,64.6,59.2,90.7,74.4,94.8,78.1
39,Premier League,2025,34,Newcastle,38,52.61,12.95,4.63,8.29,6.05,449.63,374.0,82.11,2.88,35.77,66.7,55.6,65.0,71.7,49.0,76.0
39,Premier League,2025,65,Nottingham Forest,38,46.76,12.53,4.11,7.79,5.21,408.34,335.16,81.0,3.07,32.77,38.5,44.9,48.6,54.3,75.0,28.1
39,Premier League,2025,746,Sunderland,38,44.84,10.42,3.42,7.39,3.63,375.05,297.5,78.45,2.78,32.83,25.0,19.4,18.5,15.0,42.7,29.2
39,Premier League,2025,47,Tottenham,38,50.37,11.47,3.84,7.92,5.5,413.37,337.42,81.13,2.78,33.49,54.2,46.9,37.1,50.7,42.7,40.6
39,Premier League,2025,48,West Ham,38,42.53,10.63,3.74,7.79,4.92,367.32,289.5,77.84,2.89,35.15,12.5,13.0,27.1,24.9,50.0,60.4
39,Premier League,2025,39,Wolves,38,42.79,9.71,3.24,6.24,3.39,362.84,288.45,78.61,2.68,33.33,14.6,17.8,8.3,7.4,28.1,37.5
135,Serie A,2025,489,AC Milan,38,51.84,13.24,4.37,9.16,4.26,483.74,422.5,86.74,2.74,33.0,65.6,82.6,68.1,60.8,38.5,32.3
135,Serie A,2025,497,AS Roma,38,56.29,13.24,4.68,9.74,5.16,487.97,409.08,83.32,2.71,35.39,84.4,68.1,77.8,75.1,32.3,67.7
135,Serie A,2025,499,Atalanta,38,55.13,14.79,4.61,9.79,5.66,493.89,418.87,84.05,2.99,31.14,80.2,74.1,79.2,82.5,67.7,12.5
135,Serie A,2025,500,Bologna,38,55.05,12.87,3.79,8.08,4.47,443.82,368.84,82.39,2.9,29.45,79.2,56.9,48.4,63.5,51.0,8.3
135,Serie A,2025,490,Cagliari,38,45.58,10.92,3.47,6.71,3.79,394.18,320.53,80.03,2.77,31.81,29.2,34.1,17.5,22.8,40.6,21.9
135,Serie A,2025,895,Como,38,61.61,14.45,5.11,9.53,4.47,527.13,460.95,87.05,2.74,35.34,96.9,89.7,82.8,77.8,38.5,64.6
135,Serie A,2025,520,Cremonese,38,46.5,9.11,3.29,5.53,3.5,385.47,305.03,77.82,2.36,36.13,35.4,17.7,4.7,11.8,7.3,77.1
135,Serie A,2025,502,Fiorentina,38,50.97,12.87,3.45,8.05,4.45,423.61,357.74,83.89,3.04,26.79,59.4,60.2,42.7,56.8,71.9,3.1
135,Serie A,2025,495,Genoa,38,48.71,11.45,3.76,7.11,3.68,387.29,311.95,79.5,2.96,32.87,49.0,28.3,27.8,31.8,62.5,30.2
135,Serie A,2025,504,Hellas Verona,38,40.13,11.11,3.71,6.21,3.95,329.53,248.11,74.21,3.37,33.41,2.1,3.6,19.6,17.9,94.8,38.5
135,Serie A,2025,505,Inter,38,59.76,17.11,6.03,12.24,6.34,547.45,480.13,87.37,3.12,35.23,94.8,92.7,96.4,95.2,78.1,62.5
135,Serie A,2025,496,Juventus,38,57.5,16.82,5.97,11.0,5.42,520.92,450.92,86.21,3.23,35.52,86.5,87.0,93.1,87.1,85.4,71.9
135,Serie A,2025,487,Lazio,38,50.34,10.97,4.08,6.68,3.74,491.95,426.03,85.92,2.23,37.17,53.1,81.2,28.1,29.6,5.2,85.4
135,Serie A,2025,867,Lecce,38,41.61,9.82,2.55,5.68,4.29,321.13,240.84,74.34,3.06,26.01,5.2,3.3,4.2,13.7,74.0,2.1
135,Serie A,2025,492,Napoli,38,58.87,13.21,4.71,8.47,5.47,556.63,485.55,86.66,2.37,35.66,90.6,90.9,71.5,77.8,8.3,74.0
135,Serie A,2025,523,Parma,38,44.0,10.71,2.74,5.97,3.84,361.58,291.76,79.66,2.96,25.55,20.8,22.0,8.8,19.4,62.5,1.0
135,Serie A,2025,801,Pisa,38,40.21,9.58,2.79,7.11,3.55,326.92,252.34,76.16,2.93,29.12,3.1,5.4,9.5,4.3,58.3,6.2
135,Serie A,2025,488,Sassuolo,38,46.13,10.66,3.74,7.0,3.76,401.45,333.42,82.16,2.65,35.06,34.4,46.8,20.9,21.2,25.0,59.4
135,Serie A,2025,503,Torino,38,44.13,11.82,3.97,7.34,3.84,375.24,300.11,79.45,3.15,33.63,21.9,24.5,38.0,30.5,82.3,42.7
135,Serie A,2025,494,Udinese,38,45.63,11.55,3.84,6.97,4.47,369.95,300.13,80.47,3.12,33.26,30.2,29.0,29.7,36.7,78.1,35.4
