player_id,name,primary_position,primary_starts,secondary_position,secondary_starts,total_starts,position_confidence,unknown_starts,position_history,position_source,broad_position
833,J. Bijol,CB,21,,0,21,100.0,0,CB:21,lineup_history,Defender
412759,J. Canvot,CB,14,,0,14,100.0,0,CB:14,lineup_history,Defender
19321,J. Rodon,CB,33,,0,33,100.0,0,CB:33,lineup_history,Defender
290545,J. Seelt,CB,1,,0,1,100.0,0,CB:1,lineup_history,Defender
626,J. Stones,CB,5,,0,5,100.0,0,CB:5,lineup_history,Defender
2936,J. Tarkowski,CB,37,,0,37,100.0,0,CB:37,lineup_history,Defender
138,J. Todibo,CB,22,,0,22,100.0,0,CB:22,lineup_history,Defender
1746,J. Worrall,CB,5,,0,5,100.0,0,CB:5,lineup_history,Defender
38695,J. van Hecke,CB,36,,0,36,100.0,0,CB:36,lineup_history,Defender
131,Jorge Cuenca,CB,11,,0,11,100.0,0,CB:11,lineup_history,Defender
25287,K. Danso,CB,17,,0,17,100.0,0,CB:17,lineup_history,Defender
1445,K. Mavropanos,CB,27,,0,27,100.0,0,CB:27,lineup_history,Defender
152953,L. Colwill,CB,2,,0,2,100.0,0,CB:2,lineup_history,Defender
18963,L. Dunk,CB,31,,0,31,100.0,0,CB:31,lineup_history,Defender
342970,L. Yoro,CB,18,,0,18,100.0,0,CB:18,lineup_history,Defender
2467,Lisandro Martínez,CB,13,,0,13,100.0,0,CB:13,lineup_history,Defender
179400,M. Estève,CB,34,,0,34,100.0,0,CB:34,lineup_history,Defender
67971,M. Guéhi,CB,35,,0,35,100.0,0,CB:35,lineup_history,Defender
2934,M. Keane,CB,29,,0,29,100.0,0,CB:29,lineup_history,Defender
18744,M. Kilman,CB,17,,0,17,100.0,0,CB:17,lineup_history,Defender
20995,M. Lacroix,CB,35,,0,35,100.0,0,CB:35,lineup_history,Defender
276184,M. Sarr,CB,1,,0,1,100.0,0,CB:1,lineup_history,Defender
6610,M. Senesi,CB,37,,0,37,100.0,0,CB:37,lineup_history,Defender
