api_football_player_id,name,team,league,age,transfermarkt_player_id,contract_expiration_date,verified_primary_position,verified_secondary_position,verified_position_group,verified_position_source,verified_position_confidence,verified_position_history,transfermarkt_position,current_appearances,current_goals,current_assists,current_minutes,current_weighted_goals,current_weighted_assists,current_weighted_minutes,current_starts,recent_weighted_output,recent_weighted_minutes,recent_starts,current_weighted_output,current_output_per90,current_output_percentile,current_rate_percentile,current_minutes_percentile,recent_output_percentile,recent_minutes_percentile,production_score,proven_score,availability_score
725,R. Hack,Borussia Mönchengladbach,Bundesliga,27.0,284010.0,2029-06-30 00:00:00,LW,,W,transfermarkt_profile_and_lineups,95.0,,Left Winger,9.0,3.0,0.0,406.0,2.8,0.0,397.1,4.0,12.498999999999999,2072.415,23.650000000000002,2.8,0.6346008562075044,27.7,67.8,5.1,59.3,32.8,37.7,50.1,15.6
25638,F. Neuhaus,Borussia Mönchengladbach,Bundesliga,28.0,278332.0,2027-06-30 00:00:00,CM,CAM,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,18.0,0.0,1.0,952.0,0.0,1.0,950.3,11.0,3.083,1604.9650000000001,17.45,0.7,0.06629485425655056,10.2,24.0,15.4,26.9,16.1,13.1,19.9,37.1
25380,L. Maina,1. FC Köln,Bundesliga,26.0,335103.0,,LW,RW,W,transfermarkt_profile_and_lineups,95.0,,Left Winger,26.0,2.0,1.0,1099.0,2.0,1.0,1091.1,10.0,3.63,1681.83,16.6,2.7,0.22271102557052522,26.8,28.9,29.2,19.3,24.4,27.3,21.1,42.1
8586,M. Vojvoda,Como,Serie A,30.0,336125.0,2028-06-30 00:00:00,RB,RM,FB,transfermarkt_profile_and_lineups,95.0,,Right-Back,34.0,2.0,3.0,1815.0,2.04,2.94,1824.66,21.0,6.545999999999999,3370.128,37.65,4.098,0.2021308079313406,75.4,86.1,41.4,71.6,48.2,46.5,51.7,70.7
180560,H. Mejbri,Burnley,Premier League,22.0,607224.0,2028-06-30 00:00:00,CAM,CM,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,30.0,1.0,4.0,1369.0,1.08,4.32,1440.18,16.0,4.428,1536.366,17.2,4.104,0.25646794150731156,40.2,34.4,34.4,22.1,17.2,38.7,20.4,55.1
47398,Pere Milla,Espanyol,La Liga,33.0,225593.0,2027-06-30 00:00:00,LW,ST,W,transfermarkt_profile_and_lineups,95.0,,Left Winger,33.0,7.0,1.0,1988.0,7.28,1.04,2067.52,24.0,9.724,2371.901,25.1,8.008000000000001,0.3485915492957747,68.2,63.3,62.7,46.4,41.6,67.0,44.7,76.9
1358,E. Elmas,Napoli,Serie A,26.0,400489.0,2028-06-30 00:00:00,CAM,CM,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,44.0,1.0,4.0,2481.0,1.02,4.26,2537.0099999999998,28.0,7.2044999999999995,3401.79,36.4,4.002,0.14197027209195076,38.5,4.9,76.2,41.8,60.7,30.1,48.4,93.5
501906,W. Mohya,Borussia Mönchengladbach,Bundesliga,17.0,1070979.0,,CAM,,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,17.0,2.0,1.0,554.0,2.0,1.0,553.5,6.0,2.7,553.5,6.0,2.7,0.43902439024390244,28.7,63.9,4.9,9.0,3.3,37.5,7.0,23.7
181808,F. Miretti,Juventus,Serie A,22.0,571607.0,2028-06-30 00:00:00,CM,CAM,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,31.0,1.0,3.0,945.0,1.02,3.24,1002.9,10.0,7.128299999999999,2349.12,27.5,3.288,0.2950643134908764,48.7,73.5,18.3,62.4,30.5,32.0,41.6,40.9
26,M. Wolf,FC Augsburg,Bundesliga,30.0,193900.0,2027-06-30 00:00:00,RB,RM,FB,transfermarkt_profile_and_lineups,95.0,,Right-Back,31.0,1.0,2.0,1162.0,1.0,2.0,1147.0,14.0,4.5249999999999995,2962.195,36.150000000000006,2.4,0.18831734960767219,53.4,73.7,19.2,57.4,40.5,24.4,43.1,49.3
405360,H. Armstrong,Everton,Premier League,18.0,1107733.0,2028-06-30 00:00:00,CM,CAM,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,15.0,0.0,2.0,738.0,0.0,1.5,745.74,8.0,1.3964999999999999,808.443,8.55,1.0499999999999998,0.12671976828385226,21.5,42.7,9.0,11.1,3.6,14.6,6.2,28.7
356888,N. Pisilli,AS Roma,Serie A,21.0,813137.0,2029-06-30 00:00:00,CM,CAM,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,34.0,4.0,4.0,1871.0,4.24,4.08,1943.9,19.0,9.5457,3051.4170000000004,28.9,7.096,0.32853541848860535,82.8,90.0,49.1,74.9,47.0,64.3,56.7,69.9
47414,Gumbau,Rayo Vallecano,La Liga,31.0,268670.0,2027-06-30 00:00:00,CDM,CM,DM,transfermarkt_profile_and_lineups,95.0,,Defensive Midfield,34.0,1.0,4.0,1609.0,0.9,4.02,1591.93,25.0,5.116099999999999,3018.721,39.8,3.7139999999999995,0.20997154397492349,71.3,86.8,35.1,67.2,42.0,51.4,50.8,70.5
177807,J. Njinmah,Werder Bremen,Bundesliga,25.0,596153.0,,RW,ST,W,transfermarkt_profile_and_lineups,95.0,,Right Winger,34.0,5.0,0.0,2015.0,5.0,0.0,2009.0,23.0,10.41,2908.58,31.5,5.0,0.2239920358387257,48.3,19.0,60.5,49.7,54.2,41.0,51.3,76.8
37882,M. Edwards,Burnley,Premier League,27.0,314367.0,2029-06-30 00:00:00,RW,CAM,W,transfermarkt_profile_and_lineups,95.0,,Right Winger,26.0,1.0,4.0,1257.0,1.08,3.99,1297.8000000000002,13.0,7.575000000000001,1991.7780000000002,21.25,3.873,0.26858529819694865,38.3,36.4,37.3,37.3,31.0,37.8,35.1,48.4
1321,L. Majer,VfL Wolfsburg,Bundesliga,27.0,387106.0,2028-06-30 00:00:00,CAM,,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,29.0,3.0,5.0,1434.0,2.9,4.8,1428.1,17.0,10.295,2327.74,27.25,6.26,0.3945101883621595,53.3,74.6,33.6,51.6,36.9,58.6,46.5,57.1
305730,J. Hinshelwood,Brighton,Premier League,20.0,867688.0,2029-06-30 00:00:00,CDM,CAM,DM,transfermarkt_profile_and_lineups,95.0,,Defensive Midfield,30.0,4.0,4.0,1988.0,4.32,4.32,2094.48,23.0,12.5334,3724.7160000000003,40.35,7.344,0.31557236163630115,91.4,97.1,48.9,94.8,55.2,68.0,69.1,74.7
122657,R. Nteka,Rayo Vallecano,La Liga,28.0,560483.0,2028-06-30 00:00:00,CAM,ST,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,16.0,3.0,0.0,550.0,3.12,0.0,528.23,6.0,5.6364,1535.057,18.25,3.12,0.5315866194650058,30.3,72.1,4.1,32.0,16.4,40.8,26.5,23.2
1161,E. Smith Rowe,Fulham,Premier League,25.0,392765.0,2029-06-30 00:00:00,CAM,,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,43.0,5.0,0.0,2359.0,4.890000000000001,0.0,2433.69,27.0,10.155000000000001,3867.6240000000003,42.2,4.890000000000001,0.18083650752560926,43.4,11.5,72.1,50.8,68.0,35.5,56.8,90.1
20925,V. Marchetti,Paris FC,Ligue 1,28.0,374040.0,2027-06-30 00:00:00,CM,CDM,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,23.0,2.0,1.0,819.0,1.96,0.98,802.62,9.0,2.646,802.62,9.0,2.646,0.2967032967032967,40.7,70.3,11.1,21.9,3.2,24.4,9.7,34.3
